headline,source
הממשלה אישרה את הצעת נתניהו להאריך את כהונת נציב שירות המדינה,Haaretz
"קל מאוד לא לחבב את טיילר פריץ, אבל הוא רחוק משחק אחד מלהיות גיבור לאומי",Haaretz
מבוכה לממשלת מלוני: שר הבריאות של איטליה התפטר לאחר שהודה שניהל רומן עם יועצת במשרדו,Haaretz
"דליק ווליניץ ציטט כותרות מ""הארץ"". רדיו דרום הפסיק לשדר את תוכניתו",Haaretz
"ההצגה ""נופל מחוץ לזמן"" ראויה, בעיקר עכשיו, אבל למה היא מוצגת במוזיאון?",Haaretz
"""כל מי שהוא שאל האם להגיע להופיע בפסטיבל ישראל אמר לו 'אל תעז'""",Haaretz
"בג""ץ הורה ללוין לכנס את הוועדה לבחירת שופטים לצורך מינוי נשיא לעליון",Haaretz
דוח חדש קובע: שידורי BBC הראו דפוס מובהק של הטיה נגד ישראל,Haaretz
"שר הביטחון גלנט בעזה: ""נחסל את החמאס ונשיג את החטופים""",IsraelHayom
עופר כסיף רצה לבקר בקריית שמונה - כך השיב לו ראש העיר שטרן,IsraelHayom
נפרדים מהקופסל: אליצור נתניה חונכת אולם חדש,IsraelHayom
האם תיקון טעות בצו הארנונה ייעשה רק לטובת הרשות המקומית ולא לטובת האזרח?,IsraelHayom
'פלסטיק' מיקינתון: איך אפשר להפוך את בעיית יקינתון המים ליתרון?,IsraelHayom
חברת תעופה נוספת מודיעה: נחזור לטוס לישראל,IsraelHayom
"תאונה באזור קפלן בת""א: רוכב אופניים כבן 60 נפגע באורח קשה",IsraelHayom
צפו: אליקו ולירז לוהטים במועדון,IsraelHayom
"מלחמת התודעה – כך פועלת איראן להשפעה על אזרחי ישראל: ""להחליף את ביבי בחטופים""",IsraelHayom
"לוין לאחר פסיקת בג""ץ: אחרים את נשיא העליון שייבחר",IsraelHayom
"הפיגוע במעבר אלנבי: האזהרה שלחיילים במקום ""אין נשקים"" לפני כשבועיים - ותגובת צה""ל",IsraelHayom
יאניק סינר רק חמישי: המרוויחים הגדולים בעולם הטניס ב-2024,IsraelHayom
"ג'ניפר לופז נחשפת: ""פאק איט""",IsraelHayom
"הזמרות הדתיות ועיריית תל אביב הגיעו לפשרה: מופע לנשים בלבד יתקיים ב""מרכז ענב""",IsraelHayom
היסטוריה משפחתית וגורמים גנטיים: כל מה שצריך לדעת על סרטן השחלה,IsraelHayom
9 דברים שהורים למבוגרים מצליחים מאוד עשו כשהם היו ילדים,IsraelHayom
"מחלקת הלוחמים החרדים הראשונה במג""ב סיימה הכשרה: ""מהלך פורץ דרך""",IsraelHayom
נשבר הלב: הסיבה שבגללה נפסלה זוכת מדליית הארד במרתון במשחקים הפראלימפיים,IsraelHayom
